Country,GDP,Date,Value,Unit
Denmark,347.2,20-Jan,185.685,thousand tones
Germany,3820.0,20-Jan,13935.938999999997,thousand tones
Estonia,26.36,20-Jan,1072.025,thousand tones
Ireland,245.8,20-Jan,,thousand tones
Greece,246.4,20-Jan,2727.138,thousand tones
Spain,1400.0,20-Jan,552.0,thousand tones
France,2902.0,20-Jan,888.7760000000002,thousand tones
Croatia,57.18,20-Jan,27.0,thousand tones
Italy,2129.0,20-Jan,,thousand tones
Cyprus,21.34,20-Jan,0.285,thousand tones
Latvia,32.82,20-Jan,3.4330000000000003,thousand tones
Lithuania,48.72,20-Jan,24.443,thousand tones
Luxembourg,63.93,20-Jan,4.956,thousand tones
Hungary,129.7,20-Jan,663.7260000000001,thousand tones
Malta,10.57,20-Jan,,thousand tones
Netherlands,880.4,20-Jan,616.3919999999998,thousand tones
Austria,436.1,20-Jan,303.121,thousand tones
Poland,552.2,20-Jan,9253.246,thousand tones
Portugal,228.2,20-Jan,52.017,thousand tones
Romania,199.0,20-Jan,1751.0,thousand tones
Slovenia,49.93,20-Jan,259.958,thousand tones
Slovakia,99.75,20-Jan,427.0,thousand tones
Finland,276.3,20-Jan,972.0,thousand tones
Sweden,559.1,20-Jan,287.0,thousand tones
United Kingdom,2848.0,20-Jan,1096.782,thousand tones
Norway,511.6,20-Jan,,thousand tones
Montenegro,4.66,20-Jan,,thousand tones
Serbia,42.65,20-Jan,3519.773,thousand tones
Bosnia and Herzegovina,19.55,20-Jan,,thousand tones
Ukraine,134.9,20-Jan,,thousand tones
Moldova,7.74,20-Jan,6.8,thousand tones
