country,Country_code,unit,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Belgium,BEL,Thousand tonnes,,,20429,21769,19326,,,,,,,6809,6809,6809,7256,7256,7256,6442,6442,6442
Belgium,BEL,Thousand tonnes,,,21256,22368,19990,,,,,,,7085,7085,7085,7456,7456,7456,6663,6663,6663
Belgium,BEL,Thousand tonnes,,,10880,10721,9772,,,,,,,3626,3626,3626,3573,3573,3573,3257,3257,3257
Belgium,BEL,Thousand tonnes,,,7577,7157,6082,,,,,,,2525,2525,2525,2385,2385,2385,2027,2027,2027
Belgium,BEL,Thousand tonnes,,,10880,10721,9772,,,,,,,3626,3626,3626,3573,3573,3573,3257,3257,3257
Belgium,BEL,Thousand tonnes,,,10870,10721,9772,,,,,,,3623,3623,3623,3573,3573,3573,3257,3257,3257
Belgium,BEL,Thousand tonnes,,,10043,10122,9107,,,,,,,3347,3347,3347,3374,3374,3374,3035,3035,3035
Belgium,BEL,Thousand tonnes,,,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0
Belgium,BEL,Thousand tonnes,,,36483,40710,36564,,,,,,,12161,12161,12161,13570,13570,13570,12188,12188,12188
Belgium,BEL,Thousand tonnes,,,516,755,478,,,,,,,172,172,172,251,251,251,159,159,159
Belgium,BEL,Thousand tonnes,,,24342,27784,24750,,,,,,,8114,8114,8114,9261,9261,9261,8250,8250,8250
Belgium,BEL,Thousand tonnes,,,27031,30773,27735,,,,,,,9010,9010,9010,10257,10257,10257,9245,9245,9245
Belgium,BEL,Thousand tonnes,,,24344,27784,24758,,,,,,,8114,8114,8114,9261,9261,9261,8252,8252,8252
Belgium,BEL,Thousand tonnes,,,24633,27855,24782,,,,,,,8211,8211,8211,9285,9285,9285,8260,8260,8260
Belgium,BEL,Thousand tonnes,,,26142,29640,26339,,,,,,,8714,8714,8714,9880,9880,9880,8779,8779,8779
Belgium,BEL,Thousand tonnes,,,11625,12171,11337,,,,,,,3875,3875,3875,4057,4057,4057,3779,3779,3779
Belgium,BEL,Thousand tonnes,,,8937,9182,8351,,,,,,,2979,2979,2979,3060,3060,3060,2783,2783,2783
Belgium,BEL,Thousand tonnes,,,11623,12171,11329,,,,,,,3874,3874,3874,4057,4057,4057,3776,3776,3776
Belgium,BEL,Thousand tonnes,,,11334,12099,11304,,,,,,,3778,3778,3778,4033,4033,4033,3768,3768,3768
Belgium,BEL,Thousand tonnes,,,9826,10315,9748,,,,,,,3275,3275,3275,3438,3438,3438,3249,3249,3249
