country,gdp,year,month,value,unit
Bosnia and Herzegovina,19.55,19,11,1389.698,thousand tones
Ukraine,134.9,19,11,3109.8,thousand tones
Moldova,7.74,19,11,11.0,thousand tones
Belgium,527.8,19,12,283.9,thousand tones
Bulgaria,55.08,19,12,2657.902,thousand tones
Denmark,347.2,19,12,186.28,thousand tones
Germany,3820.0,19,12,12623.124,thousand tones
Estonia,26.36,19,12,1135.061,thousand tones
Ireland,245.8,19,12,,thousand tones
Greece,246.4,19,12,2623.429,thousand tones
Spain,1400.0,19,12,310.0,thousand tones
France,2902.0,19,12,887.446,thousand tones
Croatia,57.18,19,12,42.0,thousand tones
Italy,2129.0,19,12,762.0,thousand tones
Cyprus,21.34,19,12,1.716,thousand tones
Latvia,32.82,19,12,6.185,thousand tones
Lithuania,48.72,19,12,20.737,thousand tones
Luxembourg,63.93,19,12,4.146,thousand tones
Hungary,129.7,19,12,647.548,thousand tones
Malta,10.57,19,12,,thousand tones
Netherlands,880.4,19,12,958.513,thousand tones
Austria,436.1,19,12,254.699,thousand tones
Poland,552.2,19,12,9795.658,thousand tones
Portugal,228.2,19,12,47.764,thousand tones
Romania,199.0,19,12,1799.0,thousand tones
Slovenia,49.93,19,12,332.042,thousand tones
Slovakia,99.75,19,12,429.0,thousand tones
Finland,276.3,19,12,881.0,thousand tones
Sweden,559.1,19,12,261.0,thousand tones
United Kingdom,2848.0,19,12,852.888,thousand tones
Norway,511.6,19,12,67.172,thousand tones
Montenegro,4.66,19,12,132.86700000000002,thousand tones
Serbia,42.65,19,12,3553.535,thousand tones
Bosnia and Herzegovina,19.55,19,12,1274.781,thousand tones
Ukraine,134.9,19,12,3457.4,thousand tones
Moldova,7.74,19,12,16.0,thousand tones
Belgium,527.8,20,1,316.0,thousand tones
Bulgaria,55.08,20,1,2422.37,thousand tones
Denmark,347.2,20,1,185.685,thousand tones
Germany,3820.0,20,1,13935.938999999997,thousand tones
Estonia,26.36,20,1,1072.025,thousand tones
Ireland,245.8,20,1,,thousand tones
Greece,246.4,20,1,2727.138,thousand tones
Spain,1400.0,20,1,552.0,thousand tones
France,2902.0,20,1,888.7760000000002,thousand tones
Croatia,57.18,20,1,27.0,thousand tones
Italy,2129.0,20,1,,thousand tones
Cyprus,21.34,20,1,0.285,thousand tones
Latvia,32.82,20,1,3.4330000000000003,thousand tones
Lithuania,48.72,20,1,24.443,thousand tones
Luxembourg,63.93,20,1,4.956,thousand tones
Hungary,129.7,20,1,663.7260000000001,thousand tones
Malta,10.57,20,1,,thousand tones
Netherlands,880.4,20,1,616.3919999999998,thousand tones
Austria,436.1,20,1,303.121,thousand tones
Poland,552.2,20,1,9253.246,thousand tones
Portugal,228.2,20,1,52.017,thousand tones
Romania,199.0,20,1,1751.0,thousand tones
Slovenia,49.93,20,1,259.958,thousand tones
Slovakia,99.75,20,1,427.0,thousand tones
Finland,276.3,20,1,972.0,thousand tones
Sweden,559.1,20,1,287.0,thousand tones
United Kingdom,2848.0,20,1,1096.782,thousand tones
Norway,511.6,20,1,,thousand tones
Montenegro,4.66,20,1,,thousand tones
Serbia,42.65,20,1,3519.773,thousand tones
Bosnia and Herzegovina,19.55,20,1,,thousand tones
Ukraine,134.9,20,1,,thousand tones
Moldova,7.74,20,1,6.8,thousand tones
