Label,Country,Country_code,unit,tra_meas,airline,rep_airp_per_time,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,UNK,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,TOTAL,BG_LBBG,N/A,N/A,N/A,N/A,0,0,0,1243,1598,1393,1031,720,0,0,0,0
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,LIC_NEU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Direct transit passengers,Bulgaria,BGR,PAS,PAS_TRS,LIC_EU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Transfer passengers,Bulgaria,BGR,PAS,PAS_TRF,TOTAL,BG_LBBG,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,UNK,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,TOTAL,BG_LBBG,N/A,N/A,N/A,N/A,7942,8389,30181,412008,839039,838150,547084,125844,25184,9220,6873,8106
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,LIC_NEU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Bulgaria,BGR,PAS,PAS_CRD,LIC_EU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,UNK,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,TOTAL,BG_LBBG,N/A,N/A,N/A,N/A,56,57,266,2806,5037,5068,3656,930,211,69,59,84
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,LIC_NEU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Bulgaria,BGR,MOVE,CACM,LIC_EU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
